DOMAIN,WEALTH2,TARGET_D
R2,2,0
C1,9,5
R3,2,0
R3,1,0
T3,3,0
C2,0,0
C1,9,0
C1,7,0
R2,2,0
T2,5,0
T1,9,0
R2,5,0
T2,NA,0
C2,8,0
NA,6,0
R3,NA,2
C2,NA,0
R3,4,0
R2,NA,0
C1,NA,0
C3,NA,0
C2,NA,10
T2,5,0
T2,NA,0
R2,NA,0
R2,7,0
T3,4,0
T2,7,0
C1,2,20
T3,7,0
R2,5,0
R2,4,0
C1,9,0
R3,0,0
R2,0,0
C2,NA,0
R3,NA,0
T2,6,0
C2,NA,0
R2,NA,20
R2,6,0
T2,8,0
C2,NA,0
R2,2,0
S1,NA,0
R3,NA,0
C2,NA,0
S1,6,0
T2,7,0
T2,8,0
R3,0,0
R2,NA,0
C2,NA,0
R2,4,0
R2,NA,0
T3,5,0
R2,3,0
R2,3,0
R2,4,0
R2,NA,0
S1,9,0
R2,NA,0
T2,NA,0
R2,NA,0
T2,6,0
C1,NA,0
C3,0,0
NA,6,0
T2,8,0
C1,NA,0
C1,NA,0
R3,NA,0
C3,NA,0
R2,3,0
C2,NA,0
T2,7,0
T2,8,0
R2,NA,0
C2,5,0
T1,9,0
S2,NA,0
C2,2,0
R2,1,0
C2,8,0
C3,NA,0
R2,NA,0
R3,NA,0
C1,9,0
T2,NA,0
T3,NA,0
C1,9,0
T2,5,0
C1,7,0
R2,2,0
R2,3,0
S3,NA,0
R3,1,0
R2,0,0
T2,1,0
C2,5,0
R2,3,0
C1,NA,0
T3,0,0
T1,9,0
NA,0,0
R2,NA,0
T2,6,0
C3,NA,0
R3,NA,0
T1,9,0
R1,8,0
C3,7,0
C3,NA,5
R3,2,0
T2,9,0
S2,NA,0
C2,NA,0
R2,NA,0
C2,NA,0
C1,NA,0
R3,1,0
R2,7,0
R2,5,0
C2,NA,0
T1,8,0
R2,NA,0
C1,NA,0
R2,2,0
C1,7,0
R3,1,0
R2,4,0
R2,NA,0
C3,NA,7
R2,NA,0
C1,NA,0
R2,6,0
C2,8,0
S2,NA,0
R2,5,0
R2,3,0
C2,NA,0
R2,NA,0
R2,NA,0
T2,NA,0
S2,6,0
T2,7,0
C1,9,0
C2,0,0
C3,5,0
C3,0,0
T3,2,0
T2,7,0
R3,2,0
C3,0,0
R2,NA,0
C1,7,0
R2,NA,0
S2,NA,0
C2,8,0
C3,NA,0
T2,NA,0
C3,NA,0
T2,7,0
R3,2,0
C3,2,0
C3,0,0
T2,NA,0
C1,4,0
R1,9,0
C3,0,0
C3,7,0
T2,5,0
R2,NA,0
T3,0,0
R2,8,0
R2,6,0
C1,NA,0
R2,NA,0
T3,5,0
R2,6,0
C2,5,0
R2,2,0
R2,NA,0
R3,NA,0
R3,0,0
T2,8,0
R2,7,0
R2,4,0
T1,NA,0
T2,NA,0
C3,NA,0
C1,NA,0
R2,NA,0
R2,NA,0
C1,2,0
R2,NA,0
R2,5,0
T2,9,0
C3,4,0
T3,NA,0
C2,8,9
R2,NA,0
T2,NA,10
R2,4,0
R2,6,0
R3,3,0
S2,4,0
R3,5,0
R2,NA,0
R2,NA,0
C2,8,0
C1,NA,0
R3,NA,0
S1,NA,0
C2,NA,0
R2,4,0
T1,9,0
R1,6,0
T3,NA,0
R2,NA,0
T2,NA,0
C2,8,0
C2,NA,0
S2,NA,0
R2,5,0
R3,NA,0
C3,1,0
C3,2,0
T1,NA,0
R2,2,15
T2,6,0
R2,5,0
C2,6,0
R3,6,0
R3,NA,0
T3,NA,0
S3,NA,0
R2,NA,0
C2,5,0
C2,8,0
C3,5,0
C3,3,0
R2,NA,0
S3,6,0
R2,3,0
R3,NA,0
C3,NA,0
C2,8,10
C1,8,0
T2,2,0
R1,NA,0
T2,6,0
T3,0,0
R2,NA,0
T2,NA,0
R3,2,0
R3,NA,0
R2,5,0
T2,NA,12
C3,NA,0
S2,NA,0
R2,6,0
R3,4,0
T2,1,0
S2,4,0
C2,7,0
C3,NA,0
S2,NA,14
S1,NA,0
T2,4,0
S3,NA,0
R2,3,0
S3,6,0
C2,NA,0
R2,NA,0
T1,9,0
R2,4,0
R2,0,0
R3,1,0
C3,0,0
R2,5,0
R2,5,0
C3,NA,0
R2,5,0
T2,6,0
R2,NA,0
S2,2,0
S2,9,0
R2,2,0
T2,3,0
S3,4,0
R2,5,0
C2,8,0
T2,7,0
C1,9,0
R3,NA,0
R2,5,0
R2,3,0
T3,2,0
C2,1,0
C3,2,0
R2,2,0
T2,NA,0
R2,6,0
R2,NA,0
NA,NA,0
R2,3,0
C3,NA,0
T2,NA,0
T2,NA,0
C2,NA,0
C2,3,0
T2,7,10
T1,NA,0
S3,2,0
C1,NA,0
R2,3,0
R2,3,0
T2,NA,0
S1,NA,0
R3,1,0
R3,5,0
R3,NA,0
S3,2,20
R2,6,0
T2,5,0
R2,NA,0
R2,4,0
C3,NA,0
R2,4,0
R2,5,5
R3,NA,0
R2,NA,0
NA,NA,10
C1,4,0
T3,0,0
C3,0,0
T2,0,0
T1,9,0
C2,7,0
C2,6,0
S2,9,0
R2,6,0
R2,4,0
R2,2,0
T3,NA,0
C1,8,0
R2,2,0
NA,2,0
C3,2,0
C2,8,0
S2,8,0
T3,NA,0
S2,7,15
R2,NA,0
C1,NA,0
C2,4,0
C1,9,0
T1,7,0
T2,NA,0
R2,NA,0
R2,NA,0
C2,7,0
R3,NA,0
R2,NA,0
R3,4,0
R2,8,0
C2,NA,0
R2,3,0
R2,5,0
T1,NA,0
R2,5,0
C3,9,0
S1,8,0
C2,NA,0
R1,9,0
R2,5,0
C2,NA,0
C1,NA,0
C3,NA,0
T2,0,6
C3,1,0
C3,4,0
T1,NA,0
C1,NA,0
T2,3,0
R3,1,0
C1,9,0
R3,2,0
R2,2,0
T2,NA,0
R3,1,0
T2,NA,0
R2,3,11
R2,2,0
T2,4,0
S2,3,0
R2,NA,0
T1,9,0
C1,9,0
T2,NA,0
C3,2,0
R2,4,0
C3,NA,0
R1,8,0
NA,2,15
R2,3,0
T2,3,0
R2,4,0
NA,NA,0
C3,3,0
C2,6,0
R2,NA,0
S1,9,0
C1,9,0
C2,NA,0
R2,NA,0
R2,6,0
R3,5,0
R2,NA,0
T1,NA,0
R2,3,0
R2,NA,0
C3,5,0
C1,0,0
C2,5,0
T3,2,0
S1,NA,0
T1,9,0
R2,NA,0
C3,NA,0
T2,NA,0
R2,5,0
S2,NA,0
S1,9,0
R2,2,0
T2,4,0
R2,0,0
R2,NA,0
R2,7,0
R2,NA,0
R3,NA,0
C2,6,0
R2,6,0
T2,7,0
C1,NA,0
R2,8,0
T2,6,0
R2,1,0
R2,NA,0
T2,0,0
C1,9,0
R2,3,0
S2,7,0
R2,3,0
C3,NA,0
C2,6,0
S2,4,0
R2,NA,0
C2,NA,0
R2,4,0
T3,2,0
R2,NA,0
R2,NA,0
C2,8,10
R3,NA,0
T2,6,0
C2,NA,0
R1,9,0
R2,6,0
C3,0,5
T2,NA,0
R2,4,0
T3,1,0
R3,2,0
S2,5,0
C2,5,0
R2,0,0
R3,NA,0
T1,9,0
C3,NA,15
R2,7,0
R2,2,0
R2,4,0
C1,NA,0
C2,6,0
C2,7,0
T2,NA,0
C1,NA,0
C3,NA,6
T2,2,0
R2,2,0
T2,5,0
R2,NA,0
NA,NA,0
T2,7,0
R2,3,0
R2,2,0
T2,6,0
T1,NA,0
R2,NA,0
S2,9,0
R2,1,0
R2,2,0
R3,NA,0
R2,NA,0
R2,5,0
R2,4,0
R2,5,0
R2,5,0
C3,NA,0
T2,6,0
T2,1,0
C2,NA,0
T3,NA,0
T2,6,0
R3,8,0
R2,1,0
T3,NA,0
C2,NA,0
C3,NA,0
T2,6,0
C3,NA,0
R3,NA,0
S2,NA,0
C2,NA,0
C3,7,0
T2,8,0
R3,2,0
R2,6,0
R2,4,0
C3,NA,0
T2,8,0
T2,NA,0
R3,0,0
R2,1,0
R3,1,0
C1,9,0
C2,NA,0
S2,6,0
C3,0,0
R2,NA,0
R2,6,0
R2,NA,0
C2,6,44
C1,9,0
T2,NA,0
R2,3,0
R2,NA,0
R2,7,0
C2,6,0
T2,6,0
C3,7,0
S1,9,0
R2,NA,0
S1,NA,0
R2,NA,0
R2,7,0
R2,7,0
R2,7,0
T2,NA,0
NA,0,0
R2,5,0
R3,2,0
R3,0,0
C2,7,0
R2,4,0
R2,4,0
R3,NA,0
C3,NA,0
R3,1,0
C2,7,0
S2,9,0
R2,NA,0
R2,NA,0
R2,3,0
R3,NA,0
C2,6,0
T2,NA,0
T2,6,0
R2,NA,0
R2,5,0
C2,NA,0
T2,8,0
C2,4,0
R2,2,0
T3,3,0
R2,NA,0
R3,NA,0
R3,NA,0
R2,1,0
C2,NA,0
NA,NA,0
S1,NA,0
R2,NA,0
R2,5,0
C2,7,0
C2,NA,0
T2,2,0
T2,8,0
S2,9,0
C3,0,0
C2,8,0
T1,NA,0
R2,NA,0
R2,4,0
R2,NA,0
T2,NA,0
R2,NA,0
C3,1,0
T2,NA,0
R2,NA,0
R2,NA,0
R2,NA,0
C2,8,0
C2,4,0
R2,1,0
NA,9,0
R2,NA,0
T2,5,0
T2,NA,10
R1,9,0
C2,NA,0
C2,7,0
C2,NA,0
R2,5,0
S1,NA,0
R3,1,0
R2,NA,0
T2,8,0
S3,5,0
R3,2,0
R3,2,0
T2,9,0
R2,5,0
R2,8,0
R2,4,0
NA,9,0
C1,NA,0
R2,1,0
T2,NA,0
T1,9,0
S3,7,0
C3,NA,0
C2,NA,0
R2,4,0
T1,7,75
C2,7,0
R2,6,0
T2,NA,0
R2,NA,0
S1,9,0
T2,5,0
R2,1,8
T1,1,0
C3,0,0
C2,8,0
R2,NA,0
C2,7,13
C2,7,0
T2,2,0
R2,NA,0
T2,NA,25
T2,1,0
T3,0,0
S2,8,0
T3,0,10
C2,NA,0
T2,5,0
C3,NA,0
R2,4,0
R1,7,0
T2,NA,0
R2,7,0
R2,NA,0
T2,7,0
R2,NA,0
S1,NA,0
S3,6,0
S2,NA,0
R3,2,0
T2,1,0
S3,NA,8
NA,NA,0
C3,NA,0
S2,9,0
R2,6,0
C2,NA,0
C1,NA,0
NA,NA,0
R2,NA,0
R2,1,0
R3,5,0
T2,7,0
NA,2,0
R2,2,0
C2,7,0
C2,NA,0
C2,7,0
S1,9,0
R2,7,0
T2,NA,0
C1,5,0
T2,3,0
R2,NA,0
T2,NA,0
T3,1,0
T1,8,0
C3,NA,11
T2,NA,0
R2,6,13
T1,9,0
C2,NA,0
C1,2,0
T2,5,0
S3,8,0
R2,NA,0
R2,3,0
C3,NA,0
R2,2,0
S2,NA,0
R2,NA,15
T2,5,0
R2,6,0
R2,4,0
C3,0,0
S3,7,0
S2,NA,0
S2,4,0
C3,4,0
T2,6,0
S2,5,0
T2,7,0
T2,6,0
R3,3,0
T2,NA,0
C1,NA,0
NA,3,0
R2,NA,0
S3,3,0
T1,8,0
T2,7,0
R3,NA,0
NA,3,0
R2,1,0
R2,2,0
S3,NA,0
C3,4,0
C2,NA,0
S1,9,0
C1,NA,0
T1,9,0
T2,7,0
C1,NA,0
C2,NA,0
R2,NA,0
R2,4,0
S1,9,0
T2,0,0
S3,NA,0
R2,NA,0
T2,2,0
R2,5,0
T3,0,0
R2,NA,0
C3,NA,0
T2,NA,0
C2,NA,0
T2,7,0
C3,NA,0
R2,2,0
R2,1,0
R1,8,0
S1,8,0
R3,NA,3
R3,5,0
C2,NA,0
R2,NA,0
C2,6,0
T2,NA,0
C3,3,0
R3,NA,6
R3,1,0
R2,5,0
T2,NA,0
T2,NA,0
R2,6,0
T1,NA,0
S2,NA,0
C2,NA,10
S1,9,0
R3,NA,0
R2,NA,0
R2,NA,0
T2,NA,0
T2,4,0
R1,3,0
C2,9,0
C2,7,0
T2,NA,0
C1,9,0
C3,2,0
R2,NA,0
R3,NA,0
S2,NA,0
R2,4,0
R2,NA,0
R3,0,0
C3,2,0
C1,NA,0
C3,NA,0
R2,7,0
C2,8,0
C2,3,0
NA,8,0
T3,NA,0
R2,5,0
R2,NA,0
R2,7,0
NA,5,0
R2,NA,0
R2,4,0
T2,5,0
R3,NA,0
R2,3,0
C1,NA,0
S1,6,0
R3,NA,0
T1,9,0
R3,3,0
T2,NA,0
C2,6,0
T2,NA,0
R2,5,0
R2,NA,0
R2,NA,0
C2,NA,0
C1,9,0
T1,NA,0
C3,0,0
R2,NA,0
R3,NA,15
R3,3,0
R3,NA,0
C3,3,0
R2,3,0
R3,0,0
C2,4,0
R2,NA,0
T2,4,0
R2,2,0
NA,NA,0
T2,5,0
C2,8,0
R2,NA,0
R2,4,0
R2,3,0
S2,5,0
T2,6,0
R1,7,0
R3,NA,0
C3,0,0
R2,8,0
C2,6,0
R3,3,0
R2,NA,0
R2,3,0
R3,0,0
S3,6,0
C2,NA,0
T2,7,0
C1,2,0
C3,1,0
T2,NA,0
R2,7,0
R2,NA,0
R2,3,0
R2,7,0
S2,5,0
C2,8,0
R2,NA,0
C1,7,0
R3,6,0
R2,6,0
C2,0,0
T2,5,0
C1,NA,0
R2,6,5
S3,5,0
C2,NA,0
C2,8,0
S2,NA,0
R2,NA,0
T3,NA,0
R2,3,0
T3,5,0
S1,NA,5
T3,3,0
S1,NA,0
R2,NA,0
R2,2,0
R2,5,0
T1,NA,0
R3,3,0
T2,2,0
R2,NA,0
C2,8,0
C1,5,0
R2,NA,0
R2,NA,13
S1,9,0
C3,0,0
C2,7,0
R3,1,0
S3,3,0
S3,NA,0
R3,1,0
C3,NA,0
R3,1,0
R2,NA,0
T2,3,0
R2,6,0
R3,6,0
R2,1,0
T2,7,0
T1,9,0
T2,5,0
R3,1,0
C2,NA,0
T2,7,0
R2,6,0
C2,1,0
T1,8,15
R3,1,0
R2,2,0
R2,7,0
T2,NA,25
R3,NA,0
R2,6,0
R2,5,0
C2,NA,0
R2,NA,0
R3,2,0
R2,9,0
C2,6,0
R2,4,0
S1,9,0
T1,NA,0
R2,NA,0
S2,7,0
R2,2,0
T2,1,0
R2,3,0
R2,NA,0
R2,4,0
S2,NA,0
R2,NA,0
R2,NA,0
S2,NA,0
R2,5,0
R2,4,0
R2,2,0
R2,4,0
C2,3,0
R2,4,0
R2,NA,0
C1,NA,0
C3,0,0
T2,6,0
T3,1,0
C2,NA,0
R2,2,0
R2,5,0
R2,NA,15
C2,NA,0
S2,6,0
T2,7,0
R2,NA,0
S1,9,0
T2,7,0
R2,NA,0
R2,6,0
R2,3,0
T3,1,0
R3,NA,0
C2,NA,0
C1,9,0
T2,NA,0
C1,9,0
T2,NA,0
S3,NA,0
T3,3,0
R2,3,0
S2,NA,0
T2,NA,0
S3,NA,0
C2,NA,10
R3,NA,0
R2,2,0
R2,8,0
C1,8,0
S2,NA,0
T2,0,0
C3,2,5
T2,9,0
R2,3,0
R2,NA,0
T2,5,0
S3,NA,0
R2,NA,0
R1,9,0
C1,0,0
R2,2,0
S1,9,10
R2,6,0
R2,2,0
R2,2,0
R2,6,0
R2,4,0
NA,2,0
R2,5,0
C1,7,0
C3,NA,0
S2,NA,0
R3,NA,0
R2,NA,0
R2,NA,0
R2,NA,0
S2,8,0
NA,1,0
R2,NA,0
R2,NA,0
R2,5,0
R2,NA,0
C2,7,0
T2,4,0
C2,0,0
R2,5,10
C1,8,0
R2,4,0
T3,NA,0
C1,9,0
R2,5,0
R2,NA,0
R2,NA,0
R2,5,0
C3,0,0
C1,9,0
R2,7,0
R3,1,0
C3,4,0
R2,3,0
T2,7,0
R2,NA,0
R2,NA,0
R2,5,0
R2,5,0
R2,4,0
C3,1,0
R2,3,0
R1,4,0
C1,9,0
R2,NA,0
R3,NA,0
R3,0,0
T2,3,5
R2,2,0
R2,6,0
R3,NA,0
S2,6,0
R3,NA,0
C2,NA,0
C3,NA,0
R2,5,0
R2,NA,0
R3,NA,0
T2,NA,0
NA,NA,0
C2,NA,0
R3,0,0
S2,5,0
C3,NA,0
R1,8,0
R2,NA,0
R2,1,0
C3,NA,0
T3,0,0
R2,NA,0
R2,NA,0
C1,8,0
C3,0,0
T3,0,0
C3,NA,0
T2,NA,0
C1,NA,0
R3,NA,0
C1,2,0
C3,7,0
R2,2,0
T1,5,0
S2,7,0
C2,NA,0
R3,NA,0
C3,NA,0
C2,NA,0
S2,5,0
T2,7,0
T2,2,0
C2,8,0
R2,NA,0
R3,3,0
C1,8,0
T3,NA,0
T2,NA,0
T2,7,0
R2,NA,0
S3,NA,8
C1,NA,0
C2,4,0
C2,NA,0
R2,0,0
R3,3,0
T2,2,0
T2,7,0
S2,4,0
C1,NA,0
R2,4,0
R3,NA,0
R2,NA,0
C2,NA,0
S3,0,0
C3,4,0
T2,NA,0
R3,2,0
T1,7,0
T2,NA,0
R2,8,0
T3,NA,0
R2,NA,0
C1,NA,0
R2,6,0
T2,5,0
R2,5,0
R2,NA,0
C2,8,0
T2,5,0
T2,NA,0
C3,6,0
R2,NA,0
R2,6,0
C1,9,0
R2,1,0
R1,NA,0
C3,5,0
R3,2,0
R2,NA,0
R2,NA,0
T1,9,0
C2,8,15
R2,5,0
R2,NA,0
S1,9,0
R2,5,0
R2,NA,0
R2,7,0
S2,8,0
R2,7,0
T3,NA,0
R2,8,0
C3,4,0
R2,1,5
T3,NA,0
R2,NA,0
T2,8,0
R2,6,0
T3,NA,0
R2,3,0
R3,NA,0
C2,NA,0
C1,9,0
C3,3,0
R2,NA,0
R2,5,0
R2,NA,0
S2,NA,0
R2,NA,0
C3,3,0
NA,1,0
T1,0,0
C3,NA,0
T2,6,10
T1,9,0
T3,3,0
R2,5,0
R2,6,0
R2,4,0
C2,4,0
R2,6,0
R2,4,0
R3,3,0
R2,3,0
T2,8,0
S2,7,0
R2,NA,0
C3,4,0
T2,3,0
C1,NA,0
C2,NA,0
R2,2,0
T2,NA,0
S3,6,0
R2,NA,0
S1,NA,0
R2,NA,0
R2,4,0
C3,1,0
R2,4,10
C2,6,0
T2,5,0
R2,6,0
R2,2,0
R2,5,0
C1,NA,0
S3,3,0
R2,NA,0
R3,NA,0
T2,8,15
R2,7,0
R2,7,0
T3,NA,0
R2,7,0
R2,1,0
R2,3,0
S2,6,0
R2,2,0
R3,2,0
C3,5,0
NA,4,0
R3,2,0
T2,NA,0
R2,NA,0
R2,3,0
R2,1,0
R1,NA,0
S2,NA,0
C2,7,0
T2,NA,0
C2,8,0
T2,NA,0
R2,0,0
T3,NA,0
R2,4,0
R2,8,0
S2,NA,0
C3,0,0
R1,NA,0
T3,5,0
C3,NA,0
R2,NA,0
C3,NA,0
R3,NA,0
R3,0,0
R3,1,0
R2,7,0
S2,7,0
R3,NA,0
R2,NA,0
R2,NA,0
